[2022-11-03T00:57:25.468012+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T00:57:25.617835+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T01:15:14.838016+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T01:15:14.966521+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T01:28:41.010424+00:00] log.DEBUG: SELECT `id_media` AS `lf`, `nama_media` AS `df`, `aktif` AS `df2`, '' AS `df3`, '' AS `df4` FROM `media` ORDER BY `id_media` DESC [] []
[2022-11-03T01:44:14.842169+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T01:45:00.242977+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T01:46:08.471632+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T01:47:10.713679+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T01:47:41.483505+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T01:48:31.180557+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T02:57:49.974951+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T02:57:50.099991+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T03:56:47.251180+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T03:56:47.347070+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T06:58:42.139930+00:00] log.DEBUG: SELECT `id_media` AS `lf`, `nama_media` AS `df`, `aktif` AS `df2`, '' AS `df3`, '' AS `df4` FROM `media` ORDER BY `id_media` DESC [] []
[2022-11-03T06:59:28.011560+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T06:59:28.098824+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:00:39.115311+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:00:39.231091+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:01:06.622893+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:01:06.741602+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:04:53.678055+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` ORDER BY `id_materi` DESC [] []
[2022-11-03T07:51:11.141111+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:51:11.253177+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:51:19.815687+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:51:19.893369+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:51:33.771107+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:51:33.861669+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
[2022-11-03T07:51:43.795555+00:00] log.DEBUG: SELECT `id_indikator` AS `lf`, `kategori` AS `df`, `indikator` AS `df2`, '' AS `df3`, '' AS `df4` FROM `indikator_rencana_belajar` [] []
[2022-11-03T07:51:43.904542+00:00] log.DEBUG: SELECT `id_materi` AS `lf`, `judul` AS `df`, '' AS `df2`, '' AS `df3`, '' AS `df4` FROM `materi` [] []
